stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,platform_code,parent_station
334_02,,第二発電所前,,36.5519700731547,137.223046434719,334_02,,0,,
335_01,,岩稲,,36.5496974599999,137.224666132857,335_01,,0,,
335_02,,岩稲,,36.5498615037246,137.224564447959,335_02,,0,,
336_01,,岩稲温泉楽今日館,,36.54664379,137.22707736,336_01,,0,,
336_02,,岩稲温泉楽今日館,,36.5471706910501,137.226251322316,336_02,,0,,
337_01,,楡原口,,36.5352714599999,137.231325592857,337_01,,0,,
337_02,,楡原口,,36.5356085625664,137.23122841758,337_02,,0,,
338_01,,楡原,,36.53284844,137.231326582857,338_01,,0,,
338_02,,楡原,,36.5332552402671,137.231266823664,338_02,,0,,
339_01,,楡原駅前,,36.52900029,137.229134694285,339_01,,0,,
339_02,,楡原駅前,,36.5290425268242,137.22914857762,339_02,,0,,
340_01,,庵谷北口,,36.5131460999999,137.228022115714,340_01,,0,,
341_01,,庵谷,,36.5079976799999,137.229416447143,341_01,,0,,
341_02,,庵谷,,36.5085446566591,137.229099635824,341_02,,0,,
342_01,,片掛北口,,36.49558348,137.236171282857,342_01,,0,,
342_02,,片掛北口,,36.4960888977808,137.236246868679,342_02,,0,,
343_01,,片掛,,36.4898847,137.23727977,343_01,,0,,
344_01,,片掛南口,,36.4870002399999,137.238194084285,344_01,,0,,
345_01,,猪谷,,36.47247804,137.239752938571,345_01,,0,,
345_02,,猪谷,,36.4727693075499,137.239522778756,345_02,,0,,
356_01,,笹津駅前,,36.5621107033333,137.211453194762,356_01,,0,,
357_01,,笹津春日温泉,,36.56161353,137.200569388571,357_01,,0,,
358_01,,笹津関電前,,36.56264135,137.206488464286,358_01,,0,,
359_01,,春日（笹津）,,36.56234012,137.204867388572,359_01,,0,,
360_01,,富山市民病院,,36.6732612833333,137.212088675714,360_01,,0,,
361_01,,南央町,,36.6274294433333,137.202654791428,361_01,,0,,
362_01,,新保企業団地,,36.6290061633333,137.202875923333,362_01,,0,,
363_01,,栄町北口,,36.58969962,137.209038212857,363_01,,0,,
363_02,,栄町北口,,36.5896753694654,137.208543053589,363_02,,0,,
364_01,,大沢野中学校口,,36.5895998,137.213039705715,364_01,,0,,
364_02,,大沢野中学校口,,36.589580606698,137.212851547092,364_02,,0,,
365_01,,坂本二区,,36.5878012499999,137.21787045,365_01,,0,,
367_01,,大沢野健康福祉センター前,,36.56242633,137.202285597143,367_01,,0,,
367_02,,大沢野健康福祉センター前,,36.5625105015095,137.202175147548,367_02,,0,,
385_01,,町村二丁目,,36.6787721066666,137.259925441429,385_01,,0,,
385_02,,町村二丁目,,36.6785683741247,137.259766456168,385_02,,0,,
387_01,,深谷,,36.5947322,137.1632149,387_01,,0,,
401_01,,西町,,36.68884,137.217017,401_01,,0,,
401_02,,西町,,36.688835,137.216867,401_02,,0,,
401_03,,西町,,36.688835,137.216749,401_03,,0,,
401_04,,西町,,36.688827,137.216604,401_04,,0,,
401_06,,西町,,36.688676,137.215285,401_06,,0,,
401_08,,西町,,36.688702,137.214861,401_08,,0,,
402_01,,中教院前,,36.6889203999999,137.219819005715,402_01,,0,,
402_02,,中教院前,,36.6887778983115,137.219757970403,402_02,,0,,
402_03,,中教院前,,36.6898157346443,137.22114813179,402_03,,0,,
403_01,,清水町,,36.6887473,137.225189295238,403_01,,0,,
403_02,,清水町,,36.6886224013109,137.225319560361,403_02,,0,,
404_01,,元町,,36.68863045,137.229960604286,404_01,,0,,
404_02,,元町,,36.6885190679775,137.229671941314,404_02,,0,,
405_01,,石金,,36.68803289,137.235088111905,405_01,,0,,
405_02,,石金,,36.6878026333867,137.235782265495,405_02,,0,,
406_01,,西長江,,36.68714522,137.23968975,406_01,,0,,
406_02,,西長江,,36.6869275026279,137.240163369342,406_02,,0,,
407_01,,東長江,,36.68629042,137.243482425714,407_01,,0,,
407_02,,東長江,,36.6861498343047,137.24347426421,407_02,,0,,
407_03,,東長江,,36.6859348343047,137.242559978496,407_03,,0,,
408_01,,秋吉,,36.68438986,137.248186858572,408_01,,0,,
408_02,,秋吉,,36.6846884400617,137.247168877975,408_02,,0,,
409_01,,天正寺,,36.68334582,137.25061493,409_01,,0,,
409_02,,天正寺,,36.6838079524708,137.249325015582,409_02,,0,,
410_01,,町村,,36.6805038066667,137.256647269524,410_01,,0,,
410_02,,町村,,36.6805089562904,137.256963879366,410_02,,0,,
411_01,,大島新町,,36.6770798,137.265451477143,411_01,,0,,
411_02,,大島新町,,36.6769702490539,137.265960034893,411_02,,0,,
411_03,,大島新町,,36.6768023705251,137.267200241866,411_03,,0,,
412_01,,大島（藤の木）,,36.67541344,137.273546152857,412_01,,0,,
412_02,,大島（藤の木）,,36.6753867534435,137.273674066042,412_02,,0,,
414_01,,日置,,36.67044597,137.28984722,414_01,,0,,
414_02,,日置,,36.6706293660573,137.289487667362,414_02,,0,,
415_01,,蔵本口,,36.6684415600002,137.293646771429,415_01,,0,,
415_02,,蔵本口,,36.6678593660571,137.294464810219,415_02,,0,,
416_01,,大石原,,36.6656601,137.299249195715,416_01,,0,,
416_02,,大石原,,36.6654549016859,137.299468517303,416_02,,0,,
417_01,,同心口,,36.6643520700001,137.304218534286,417_01,,0,,
417_02,,同心口,,36.6644749016858,137.303102803018,417_02,,0,,
418_01,,草野,,36.6642372600001,137.306156547143,418_01,,0,,
418_02,,草野,,36.6641705501423,137.305856730952,418_02,,0,,
419_01,,雄山高校前,,36.6641224033333,137.31077418,419_01,,0,,
419_02,,雄山高校前,,36.6640855501423,137.309811016666,419_02,,0,,
420_01,,立山町役場前,,36.66407889,137.313201418572,420_01,,0,,
420_02,,立山町役場前,,36.6640003666369,137.313549390382,420_02,,0,,
421_01,,五百石駅前,,36.66532662,137.314629697143,421_01,,0,,
422_01,,五百石,,36.6640283133334,137.31578810619,422_01,,0,,
422_02,,五百石,,36.6640389117607,137.317417024654,422_02,,0,,
423_01,,米沢,,36.66240824,137.319695975715,423_01,,0,,
424_01,,上町（大森）,,36.65855317,137.318099801428,424_01,,0,,
450_01,,蔵本団地,,36.6651219333333,137.29469859,450_01,,0,,
451_01,,町村西口,,36.68183132,137.25437277,451_01,,0,,
451_02,,町村西口,,36.6826152444044,137.25221250946,451_02,,0,,
452_01,,蔵本新,,36.66040878,137.29441134,452_01,,0,,
460_02,,藤の木台,,36.6763209871474,137.26951081204,460_02,,0,,
460_03,,藤の木台,,36.6758409345791,137.271643280983,460_03,,0,,
500_01,,富山赤十字病院,,36.7084114166667,137.209394458571,500_01,,0,,
505_01,,永楽町,,36.7030807166667,137.220237294286,505_01,,0,,
505_02,,永楽町,,36.7029742343062,137.22025227398,505_02,,0,,
515_01,,昭和町,,36.7448507401831,137.227381467819,515_01,,0,,
515_02,,昭和町,,36.7449152183435,137.227504849434,515_02,,0,,
516_01,,西の宮町,,36.7483926627941,137.227939367294,516_01,,0,,
517_01,,東岩瀬駅,,36.752493176628,137.230449914932,517_01,,0,,
520_01,,岩瀬浜駅前,,36.7616025545154,137.233531966545,520_01,,0,,
521_01,,岩瀬浜,,36.7620387132615,137.235540747643,521_01,,0,,
601_01,,水橋新保新町,,36.73760922,137.288450462857,601_01,,0,,
601_02,,水橋新保新町,,36.7392712621322,137.289495048988,601_02,,0,,
602_01,,水橋新保,,36.74210742,137.292032658571,602_01,,0,,
602_02,,水橋新保,,36.7418229287987,137.291839810893,602_02,,0,,
603_01,,水橋口,,36.7470569900002,137.300185235715,603_01,,0,,
603_02,,水橋口,,36.7466645954654,137.300064572798,603_02,,0,,
604_01,,水橋西部地区センター前,,36.75049748,137.301459291428,604_01,,0,,
604_02,,水橋西部地区センター前,,36.7503697779182,137.301436794971,604_02,,0,,
605_01,,浄土橋,,36.75290822,137.30213518,605_01,,0,,
605_02,,浄土橋,,36.752898119061,137.302222715512,605_02,,0,,
606_01,,東大町,,36.7533365166667,137.304607002857,606_01,,0,,
606_02,,東大町,,36.7532892332241,137.304452279176,606_02,,0,,
607_01,,照蓮寺前,,36.75543366,137.304936335714,607_01,,0,,
608_01,,水橋田町,,36.7570549633333,137.305131356667,608_01,,0,,
608_02,,水橋田町,,36.757242813436,137.305272037197,608_02,,0,,
609_01,,東出町,,36.75836862,137.307708451905,609_01,,0,,
610_01,,朝日町,,36.75855837,137.313371195714,610_01,,0,,
611_01,,高月町,,36.7584602286867,137.321883737711,611_01,,0,,
611_02,,高月町,,36.7584324272583,137.321991537297,611_02,,0,,
616_01,,中滑川,,36.76283622,137.340186068096,616_01,,0,,
616_02,,中滑川,,36.7627166541147,137.34029535293,616_02,,0,,
617_01,,晒屋口,,36.76347284,137.34132417,617_01,,0,,
618_01,,吾妻町,,36.76685921,137.343330995714,618_01,,0,,
619_01,,厚生連滑川病院口,,36.76900271,137.345457888571,619_01,,0,,
620_01,,滑川駅前,,36.7697641966667,137.348393754762,620_01,,0,,
620_02,,滑川駅前,,36.7695357605591,137.348290399937,620_02,,0,,
624_01,,日参製薬前,,36.7592175,137.32654856,624_01,,0,,
625_01,,田中小学校前,,36.75990427,137.333147444286,625_01,,0,,
626_01,,河端町,,36.76077752,137.334968565714,626_01,,0,,
629_01,,水橋中村町,,36.7548184966667,137.310239805714,629_01,,0,,
630_01,,滑川高校前,,36.75942121,137.32987354,630_01,,0,,
631_01,,水橋東部団地口,,36.7533843299999,137.313580374287,631_01,,0,,
632_01,,水橋東部団地,,36.7494745633334,137.315863030476,632_01,,0,,
633_01,,東出町口,,36.75824591,137.311195248571,633_01,,0,,
634_01,,中新町団地,,36.7352275966667,137.287662153334,634_01,,0,,
634_02,,中新町団地,,36.735246262132,137.287757906131,634_02,,0,,
701_01,,音羽町,,36.6907228700001,137.226676609047,701_01,,0,,
701_02,,音羽町,,36.6897290574604,137.226711261476,701_02,,0,,
702_01,,稲荷元町,,36.69564352,137.22594241,702_01,,0,,
703_01,,奥田中学校口,,36.701017,137.22645879,703_01,,0,,
704_01,,奥井,,36.7041216599999,137.22841805381,704_01,,0,,
704_02,,奥井,,36.7044507194464,137.228730619283,704_02,,0,,
705_01,,上赤江住宅前,,36.7087424500001,137.231226685715,705_01,,0,,
705_02,,上赤江住宅前,,36.7082162978903,137.231076384517,705_02,,0,,
706_01,,上赤江,,36.7106560633335,137.23172005,706_01,,0,,
706_02,,上赤江,,36.7103807587448,137.231782854761,706_02,,0,,
707_01,,上赤江口,,36.71300239,137.232240414286,707_01,,0,,
707_02,,上赤江口,,36.7132426861444,137.232370491671,707_02,,0,,
708_01,,下赤江,,36.7163412233333,137.233092392381,708_01,,0,,
708_02,,下赤江,,36.7158248037609,137.233024833608,708_02,,0,,
709_01,,下冨居口,,36.7200178366668,137.234057559524,709_01,,0,,
709_02,,下冨居口,,36.7189355881543,137.233872293276,709_02,,0,,
710_01,,豊田口,,36.7255089033333,137.236750409524,710_01,,0,,
710_02,,豊田口,,36.7255678316267,137.236895494352,710_02,,0,,
711_01,,豊若町,,36.73040044,137.23834846381,711_01,,0,,
711_02,,豊若町,,36.73034879876,137.238360331661,711_02,,0,,
712_01,,米田すずかけ台,,36.7336304066667,137.241084487143,712_01,,0,,
712_02,,米田すずかけ台,,36.7336128107232,137.241123708,712_02,,0,,
713_01,,米田,,36.73502676,137.242135368571,713_01,,0,,
713_02,,米田,,36.7355518518303,137.242433208013,713_02,,0,,
714_01,,中田,,36.74301796,137.245016252857,714_01,,0,,
714_02,,中田,,36.7429132488019,137.245095242424,714_02,,0,,
715_01,,中田北口,,36.7451824433333,137.245141999524,715_01,,0,,
715_02,,中田北口,,36.7452031562057,137.245302007632,715_02,,0,,
716_01,,加古町,,36.7523814223115,137.245008945465,716_01,,0,,
719_01,,永久町口,,36.7482551030978,137.245094776154,719_01,,0,,
720_01,,豊田本町一丁目,,36.7294849133333,137.234269548571,720_01,,0,,
721_01,,犬島六丁目,,36.7328969666666,137.2326046,721_01,,0,,
722_01,,犬島四丁目,,36.7354709,137.231202718571,722_01,,0,,
723_01,,米田すずかけ台団地,,36.7361248866667,137.238041496667,723_01,,0,,
725_01,,豊田本町,,36.72811824,137.237380591429,725_01,,0,,
725_02,,豊田本町,,36.7281354517988,137.237497711939,725_02,,0,,
801_01,,富山斎場前,,36.62905513,137.288211738571,801_01,,0,,
802_01,,西の番南口,,36.63263714,137.28251264,802_01,,0,,
803_01,,西の番,,36.63675153,137.276035852857,803_01,,0,,
804_01,,西の番公民館前,,36.63863806,137.27284085,804_01,,0,,
805_01,,西の番北口,,36.64075585,137.269962628571,805_01,,0,,
805_02,,西の番北口,,36.6407307548818,137.27006739284,805_02,,0,,
806_01,,中村口,,36.64385752,137.265515347143,806_01,,0,,
807_01,,城村,,36.64546446,137.263255982857,807_01,,0,,
807_02,,城村,,36.6459088705902,137.26253574981,807_02,,0,,
807_03,,城村,,36.6458909515423,137.262664096404,807_03,,0,,
807_04,,城村,,36.645406705816,137.263183634749,807_04,,0,,
808_01,,城ヶ丘,,36.64927011,137.270328221429,808_01,,0,,
809_01,,大場,,36.65134235,137.275484517143,809_01,,0,,
810_01,,城村口,,36.6479256899999,137.260591928572,810_01,,0,,
811_01,,八川,,36.6503128999999,137.258297398571,811_01,,0,,
812_01,,石屋,,36.65267454,137.254339312857,812_01,,0,,
813_01,,太田小学校前,,36.65438964,137.251280534286,813_01,,0,,
813_02,,太田小学校前,,36.6544076402185,137.251129746437,813_02,,0,,
814_01,,太田,,36.6582809533333,137.246927867143,814_01,,0,,
815_01,,太田北口,,36.6639137833333,137.242410757143,815_01,,0,,
816_01,,山室中学校前,,36.6687945433334,137.239186539524,816_01,,0,,
816_02,,山室中学校前,,36.6683242332467,137.2390767179,816_02,,0,,
817_01,,山室,,36.6711919,137.239482221905,817_01,,0,,
817_02,,山室,,36.6714392332466,137.239482432186,817_02,,0,,
818_01,,高原町,,36.6749615233333,137.240961529524,818_01,,0,,
818_02,,高原町,,36.6740213692643,137.240855606799,818_02,,0,,
819_01,,不二栄町,,36.66842396,137.243432677143,819_01,,0,,
820_01,,不二栄口,,36.67012155,137.243375052857,820_01,,0,,
821_01,,高屋敷,,36.67206176,137.242192284286,821_01,,0,,
822_01,,高原西口,,36.67710886,137.239578701905,822_01,,0,,
822_02,,高原西口,,36.6769742054135,137.240082194105,822_02,,0,,
823_01,,中川原新町,,36.67650876,137.243612882857,823_01,,0,,
823_02,,中川原新町,,36.6764122994967,137.243939553282,823_02,,0,,
824_01,,中川原,,36.67330172,137.24951855,824_01,,0,,
824_02,,中川原,,36.6736318805098,137.249092200786,824_02,,0,,
825_01,,山室荒屋,,36.66880714,137.254199368572,825_01,,0,,
826_01,,横内,,36.66632586,137.258354454286,826_01,,0,,
827_01,,西の新,,36.66384726,137.263637215714,827_01,,0,,
828_01,,流杉,,36.66183648,137.267208465714,828_01,,0,,
829_01,,流杉東,,36.66026937,137.272367457143,829_01,,0,,
830_01,,松ヶ丘,,36.67517153,137.254148778572,830_01,,0,,
830_02,,松ヶ丘,,36.6752792710478,137.253075248417,830_02,,0,,
831_01,,新町村,,36.67468989,137.258418057143,831_01,,0,,
831_02,,新町村,,36.6746967422976,137.257226360265,831_02,,0,,
832_01,,第二機械センター前,,36.6734126,137.265628428572,832_01,,0,,
832_02,,第二機械センター前,,36.6734545620775,137.264774683721,832_02,,0,,
833_01,,大島口,,36.67189663,137.2754541,833_01,,0,,
833_02,,大島口,,36.6718079559821,137.274623551548,833_02,,0,,
833_03,,大島口,,36.672157614616,137.274990064712,833_03,,0,,
834_01,,中市,,36.6774367533333,137.237473059524,834_01,,0,,
834_02,,中市,,36.6775921118843,137.235894448705,834_02,,0,,
834_03,,中市,,36.6782900200279,137.236842903072,834_03,,0,,
835_01,,山室小学校前,,36.67954125,137.240695844286,835_01,,0,,
836_01,,不二越六丁目,,36.68190597,137.241248942857,836_01,,0,,
836_02,,不二越六丁目,,36.6822056037289,137.241893863395,836_02,,0,,
837_01,,不二越十二丁目,,36.68391845,137.242610904286,837_01,,0,,
839_01,,不二越正門前,,36.6842800409643,137.236433418283,839_01,,0,,
839_02,,不二越正門前,,36.6841030301753,137.236338879264,839_02,,0,,
841_01,,中央病院,,36.6924405366667,137.236957406191,841_01,,0,,
847_01,,飯野新屋,,36.7227268166667,137.249244494762,847_01,,0,,
848_01,,新屋橋,,36.7254517966667,137.249829854761,848_01,,0,,
850_01,,楠木,,36.73452312,137.255244394762,850_01,,0,,
850_02,,楠木,,36.7339733762405,137.255193485231,850_02,,0,,
851_01,,下飯野,,36.7375415166668,137.258899731428,851_01,,0,,
851_02,,下飯野,,36.7372682357911,137.25932494557,851_02,,0,,
854_01,,針原中町,,36.7333099633334,137.269168711429,854_01,,0,,
854_02,,針原中町,,36.7332828898487,137.270403419147,854_02,,0,,
855_01,,高島口,,36.7341794533333,137.266766550953,855_01,,0,,
856_01,,運転教育センター,,36.73321712,137.264800682857,856_01,,0,,
857_01,,上飯野,,36.70764948,137.249406077143,857_01,,0,,
857_02,,上飯野,,36.7079779010658,137.249524977337,857_02,,0,,
859_01,,上飯野北口,,36.71567136,137.248847272857,859_01,,0,,
859_02,,上飯野北口,,36.7157645021352,137.249310120101,859_02,,0,,
860_01,,古寺新町,,36.67285448,137.268624864286,860_01,,0,,
860_02,,古寺新町,,36.6728585381771,137.268102603065,860_02,,0,,
861_01,,山室中部小学校前,,36.67088931,137.251595632857,861_01,,0,,
861_02,,山室中部小学校前,,36.6710813557787,137.251379775538,861_02,,0,,
862_01,,下飯野東口,,36.73762927,137.262676675714,862_01,,0,,
863_01,,県リハビリセンター南口,,36.7436756143213,137.267255970746,863_01,,0,,
864_01,,中川原北口,,36.67570886,137.249328562857,864_01,,0,,
864_02,,中川原北口,,36.6757503582951,137.248821298005,864_02,,0,,
865_01,,上飯野新町,,36.70990938,137.252238717143,865_01,,0,,
865_02,,上飯野新町,,36.7097196278151,137.251883110936,865_02,,0,,
866_01,,上飯野団地,,36.71354147,137.254632514286,866_01,,0,,
