出発地のノード番号,到着側のノード番号,ウェイの距離[m]
18454,39879,10.39
39879,18454,10.39
39879,18455,22.19
18455,39879,22.19
18455,3306,19.28
3306,18455,19.28
3306,18456,41.41
18456,3306,41.41
18456,3304,37.67
3304,18456,37.67
3304,3303,22.94
3303,3304,22.94
3303,35944,38.18
35944,3303,38.18
35944,18443,94.98
18443,35944,94.98
18443,3297,42.23
3297,18443,42.23
3297,3296,33.18
3296,3297,33.18
3296,42687,11.78
42687,3296,11.78
42687,18444,17.56
18444,42687,17.56
18444,3295,39.83
3295,18444,39.83
3295,18445,28.48
18445,3295,28.48
18445,3298,36.91
3298,18445,36.91
3298,18446,141.48
18446,3298,141.48
18446,3299,64.72
3299,18446,64.72
3299,3302,83.49
3302,3299,83.49
3302,58294,93.24
58294,3302,93.24
58294,3307,57.37
3307,58294,57.37
3307,3308,82.62
3308,3307,82.62
3308,3311,55.43
3311,3308,55.43
3311,18447,29.58
18447,3311,29.58
18447,3313,22.92
3313,18447,22.92
3313,3314,22.34
3314,3313,22.34
3314,18448,19.93
18448,3314,19.93
18448,3312,28.25
3312,18448,28.25
3312,32007,19.23
32007,3312,19.23
32007,18449,52.62
18449,32007,52.62
18449,86763,43.25
86763,18449,43.25
1457,18422,9.81
18422,1457,9.81
18422,28967,159.69
28967,18422,159.69
28967,18423,48.52
18423,28967,48.52
18423,4028,47.27
4028,18423,47.27
4028,28977,9.55
28977,4028,9.55
28977,18424,36.74
18424,28977,36.74
18424,16128,83.87
16128,18424,83.87
18423,28983,27.66
28983,18423,27.66
28983,81746,10.69
81746,28983,10.69
81746,3973,26.66
3973,81746,26.66
3973,18425,19.25
18425,3973,19.25
18425,18426,81.72
18426,18425,81.72
18426,18427,155.94
18427,18426,155.94
18427,18433,60.25
18433,18427,60.25
18433,81747,34.1
81747,18433,34.1
81747,18428,32.1
18428,81747,32.1
18428,18429,156.03
18429,18428,156.03
18429,18430,97.96
18430,18429,97.96
18430,28983,32.57
28983,18430,32.57
18428,18427,18.91
18427,18428,18.91
65062,51660,15.49
51660,65062,15.49
51660,65077,103.11
65077,51660,103.11
49854,2888,2.31
2888,60390,54.91
60390,41191,147.32
41191,49835,12.06
49835,40684,6.86
40684,41247,103.66
41247,9499,12.24
9499,41246,12.73
41246,9500,15.01
9500,9501,36.2
9501,9502,45.81
9502,9503,53.72
9503,40669,33.34
40669,9504,10.03
9504,40666,14.9
40666,9505,41.7
9505,60377,38.69
60377,9506,51.99
9506,9507,70.46
9507,9508,83.65
9508,9509,78.68
9509,40656,12.8
40656,49809,16.7
49809,40652,18.85
40652,9510,24.56
9510,9511,57.18
9511,9512,42.69
9512,40642,22.38
40642,9498,12.6
9498,40638,13.09
40638,9513,38.21
9513,9514,62.66
9514,48348,18.98
48348,49806,12.75
49806,9519,61.63
9519,49805,53.74
49805,43663,41.04
43663,9523,17.61
9523,43661,15.05
43661,9526,62.64
9526,9527,74.57
9527,9529,91.56
9529,43658,35.9
43658,49796,8.86
49796,9545,21.8
9545,43656,144.52
43656,9547,10.88
9547,43654,9.31
43654,9548,22.11
9548,60896,17.85
60896,9550,113.5
9550,43650,35.47
43650,1426,11.71
20716,8063,11.82
8063,20716,11.82
8063,24615,10.84
24615,8063,10.84
24615,21301,35.87
21301,24615,35.87
21301,49231,15.01
49231,21301,15.01
49231,49229,45.7
49229,49231,45.7
49229,38307,9.94
38307,49229,9.94
38307,49227,42.4
49227,38307,42.4
49227,38305,1.11
38305,49227,1.11
38305,49226,5.09
49226,38305,5.09
49226,41682,43.94
41682,49226,43.94
41682,8423,19.99
8423,41682,19.99
8423,21300,6.36
21300,8423,6.36
21300,5858,6.94
5858,21300,6.94
5858,8428,5.93
8428,5858,5.93
8428,38301,82.59
38301,8428,82.59
38301,41679,19.25
41679,38301,19.25
41679,75338,45.49
75338,41679,45.49
75338,21302,13.34
21302,75338,13.34
21302,75272,94.29
75272,21302,94.29
75272,20343,45.59
20343,75272,45.59
20343,20917,5.54
20917,20343,5.54
20917,21303,5.31
21303,20917,5.31
21303,38296,90.82
38296,21303,90.82
38296,6716,65.22
6716,38296,65.22
6716,20354,53.6
20354,6716,53.6
20354,6661,5.03
6661,20354,5.03
6661,21474,5.88
21474,6661,5.88
21474,21304,24.8
21304,21474,24.8
21304,20358,15.79
20358,21304,15.79
20358,20367,29.88
20367,20358,29.88
20367,21456,26.7
21456,20367,26.7
21456,74945,5.5
74945,21456,5.5
74945,51112,28.83
51112,74945,28.83
51112,74845,56.62
74845,51112,56.62
74845,20365,22.79
20365,74845,22.79
20365,21305,8.86
21305,20365,8.86
21305,38287,29.9
38287,21305,29.9
