ノード番号,緯度,経度,3次メッシュID
67417,36.7118208,137.2084838,5537156
67418,36.7163131,137.1704201,5537153
67419,36.7163727,137.1704914,5537153
67420,36.7166178,137.170847,5537153
67421,36.7169337,137.1709342,5537163
67422,36.7169937,137.1709203,5537163
67423,36.7172759,137.1709035,5537163
67424,36.7174182,137.1709255,5537163
67425,36.7176004,137.1711699,5537163
67426,36.7181301,137.1705398,5537163
67427,36.7182148,137.1705237,5537163
67428,36.718378,137.1709478,5537163
67429,36.7184164,137.1710944,5537163
67430,36.7184182,137.1711395,5537163
67431,36.7183977,137.1712819,5537163
67432,36.7181941,137.1717884,5537163
67433,36.7181714,137.1718242,5537163
67434,36.7180182,137.1719377,5537163
67435,36.7179571,137.171959,5537163
67436,36.7185455,137.1733924,5537163
67437,36.7183054,137.1727062,5537163
67438,36.7183552,137.1726959,5537163
67439,36.7184652,137.1726485,5537163
67440,36.7189031,137.1719835,5537163
67441,36.7188527,137.1719805,5537163
67442,36.7191531,137.170958,5537163
67443,36.719022,137.171575,5537163
67444,36.7193215,137.1718958,5537163
67445,36.7229779,137.1832697,5537164
67446,36.7228959,137.1832696,5537164
67447,36.5648025,137.2271395,54376178
67448,36.7237173,137.1851648,5537164
67449,36.7218418,137.1824616,5537164
67450,36.721497,137.1820685,5537164
67451,36.7210164,137.1827068,5537164
67452,36.7210194,137.1828075,5537164
67453,36.7209903,137.1829523,5537164
67454,36.7208888,137.1831946,5537164
67455,36.7203025,137.1824528,5537164
67456,36.7202944,137.182305,5537164
67457,36.7226055,137.1814412,5537164
67458,36.722681,137.1814197,5537164
67459,36.7224121,137.1814834,5537164
67460,36.7221463,137.1814476,5537164
67461,36.7220193,137.1814198,5537164
67462,36.7215564,137.1814688,5537164
67463,36.7217588,137.1814434,5537164
67464,36.7212858,137.1814528,5537164
67465,36.7214112,137.1814502,5537164
67466,36.7214503,137.1814646,5537164
67467,36.7214793,137.1814702,5537164
67468,36.7223326,137.1805307,5537164
67469,36.7223617,137.1805207,5537164
67470,36.72243,137.180497,5537164
67471,36.5663713,137.2308824,54376178
67472,36.7222455,137.1795994,5537164
67473,36.722151,137.1796297,5537164
67474,36.5662929,137.2315686,54376178
67475,36.7221645,137.1796254,5537164
67476,36.7222514,137.1797069,5537164
67477,36.7218277,137.1777929,5537164
67478,36.7211921,137.1756494,5537164
67479,36.7223231,137.1800694,5537164
67480,36.7217606,137.1778263,5537164
67481,36.6980149,137.1475747,5537131
67482,36.720527,137.1741171,5537163
67483,36.6285439,137.3106205,54377254
67484,36.7211272,137.1757004,5537164
67485,36.7208183,137.176094,5537164
67486,36.7205354,137.1751045,5537164
67487,36.7201542,137.1778567,5537164
67488,36.7203928,137.1741516,5537163
67489,36.7203486,137.1761252,5537164
67490,36.7131139,137.11245,5537058
67491,36.7198641,137.1778438,5537164
67492,36.7196138,137.1776952,5537164
67493,36.7202483,137.1779601,5537164
67494,36.7203684,137.1779242,5537164
67495,36.7205587,137.1778383,5537164
67496,36.7208084,137.1777487,5537164
67497,36.7208427,137.177744,5537164
67498,36.7208796,137.1777489,5537164
67499,36.7209126,137.1777573,5537164
67500,36.7208726,137.17804,5537164
67501,36.7207798,137.1780724,5537164
67502,36.7207696,137.178104,5537164
67503,36.7207149,137.178587,5537164
67504,36.720685,137.1787349,5537164
67505,36.7201384,137.1787923,5537164
67506,36.7199943,137.1787656,5537164
67507,36.7197604,137.1787584,5537164
67508,36.7195727,137.178754,5537164
67509,36.719305,137.178665,5537164
67510,36.7191136,137.1786688,5537164
67511,36.7190364,137.1786516,5537164
67512,36.7192412,137.1775014,5537164
67513,36.7191093,137.1774318,5537164
67514,36.7188217,137.1772777,5537164
67515,36.7187308,137.1772325,5537164
67516,36.7187293,137.1790174,5537164
67517,36.6285478,137.3103743,54377254
67518,36.7100806,137.2082716,5537156
67519,36.7116957,137.2088066,5537156
67520,36.7118512,137.2087364,5537156
67521,36.7122393,137.2086775,5537156
67522,36.7123372,137.2086101,5537156
67523,36.7123474,137.2085339,5537156
67524,36.7156849,137.208488,5537156
67525,36.7164611,137.2084838,5537156
67526,36.7164676,137.208363,5537156
67527,36.7108005,137.2083577,5537156
67528,36.7104309,137.2083127,5537156
67529,36.6285491,137.2997402,54377253
67530,36.7129504,137.1013689,5537058
67531,36.7035431,137.2056034,5537146
67532,36.6843093,137.1995033,5537125
67533,36.6286589,137.3111125,54377254
67534,36.6638081,137.2013527,54377196
67535,36.6634981,137.2018321,54377196
67536,36.7044469,137.1481153,5537141
67537,36.628622,137.314475,54377255
67538,36.6287402,137.315528,54377255
67539,36.628941,137.3151842,54377255
67540,36.713059,137.1014336,5537058
67541,36.6287892,137.3014568,54377254
67542,36.5747781,137.227562,54376188
67543,36.5747852,137.2267133,54376188
67544,36.574861,137.2266087,54376188
67545,36.5748835,137.2264862,54376188
67546,36.6272683,137.2989561,54377253
67547,36.6287177,137.2995573,54377253
67548,36.7132793,137.1045849,5537058
67549,36.628584,137.3024583,54377254
67550,36.5745209,137.2322645,54376188
67551,36.5750845,137.2316852,54376198
67552,36.5727545,137.2320545,54376188
67553,36.5729568,137.2324915,54376188
67554,36.5730372,137.232798,54376188
67555,36.5730786,137.2329892,54376188
67556,36.5731542,137.2330742,54376188
67557,36.6288518,137.3127256,54377255
67558,36.6286447,137.3203133,54377255
67559,36.6289753,137.2991916,54377253
67560,36.6294293,137.2984644,54377253
67561,36.6624753,137.1258222,54377190
67562,36.6625323,137.1257257,54377190
67563,36.6290022,137.3223774,54377255
